komentar,komentar_with_tags,sentimen llm
Prsann gada yg bilang gitu🙂‍↕️,Prsann gada yg bilang gitu<Wajah Agak Tersenyum>‍↕️,positif
sangat terharu bercampur bahagia trimakasih ayah yg baik selamat berkumpul kembali bersama keluarga yg selama ini menantikan kehadiranmu. 😂😂😂😂,sangat terharu bercampur bahagia trimakasih ayah yg baik selamat berkumpul kembali bersama keluarga yg selama ini menantikan kehadiranmu. <Wajah Menangis Gembira><Wajah Menangis Gembira><Wajah Menangis Gembira><Wajah Menangis Gembira>,negatif
Siapa yg naruh bawang di sini.... 😢,Siapa yg naruh bawang di sini.... <Wajah Menangis>,positif
Ya Allah. Ingat anak gadisku. Mirip banget 😭,Ya Allah. Ingat anak gadisku. Mirip banget <Wajah Menangis Kencang>,positif
hati tembus orang tua❤,hati tembus orang tua<Hati Merah>,negatif
kan sudah di sekenario gemana toh😂😂😂,kan sudah di sekenario gemana toh<Wajah Menangis Gembira><Wajah Menangis Gembira><Wajah Menangis Gembira>,netral
Ternyata salah orang 😂,Ternyata salah orang <Wajah Menangis Gembira>,positif
Ga taunya istrinya sering bobo sama org lain .😂,Ga taunya istrinya sering bobo sama org lain .<Wajah Menangis Gembira>,positif
Gantian atuh pak peluknya saya juga mau 😊,Gantian atuh pak peluknya saya juga mau <Wajah Tersenyum Dengan Mata Tersenyum>,positif
Siap siap ya 🙂‍↕️,Siap siap ya <Wajah Agak Tersenyum>‍↕️,negatif
"Mau di gendong, eh lupa dia anak nya udah gede. Wkwkwkw.. Dasar si bapak 😂","Mau di gendong, eh lupa dia anak nya udah gede. Wkwkwkw.. Dasar si bapak <Wajah Menangis Gembira>",positif
"Beda cerita kalo jadi bapak2 hehhehe, walaupun sudah besar selalu anggap anaknya masih kecil 😊","Beda cerita kalo jadi bapak2 hehhehe, walaupun sudah besar selalu anggap anaknya masih kecil <Wajah Tersenyum Dengan Mata Tersenyum>",positif
Klw aku yang gendong psti aku angkat😂,Klw aku yang gendong psti aku angkat<Wajah Menangis Gembira>,netral
​ @IpankIpank-e5b klo cewenya mau😂,​ @IpankIpank-e5b klo cewenya mau<Wajah Menangis Gembira>,netral
"😅 anak dah sma, kalau pulang kerjaan 3hari. Minta loncat dan gendong. Mana anak perempuan lainya rebutan, termasuk mamanya. Habis itu, 😂  encok. Minum buat Pengalinu.","<Wajah Tersenyum Mulut Terbuka Dan Keringat Dingin> anak dah sma, kalau pulang kerjaan 3hari. Minta loncat dan gendong. Mana anak perempuan lainya rebutan, termasuk mamanya. Habis itu, <Wajah Menangis Gembira>  encok. Minum buat Pengalinu.",positif
Seorang ayah sllu menganggap anaknya perempuan sbg putri kecil nya❤,Seorang ayah sllu menganggap anaknya perempuan sbg putri kecil nya<Hati Merah>,netral
anak kecil yang sebelah nutup mata pas sah ayah mencium anaknya 😂😂,anak kecil yang sebelah nutup mata pas sah ayah mencium anaknya <Wajah Menangis Gembira><Wajah Menangis Gembira>,positif
"MasyaAllaah
 aku jadi ikut nangis 😊☺️","MasyaAllaah
 aku jadi ikut nangis <Wajah Tersenyum Dengan Mata Tersenyum><Wajah Tersenyum Simpel>️",positif
Adegan ini jangan ditiru dilakukan kepada orang lain😂,Adegan ini jangan ditiru dilakukan kepada orang lain<Wajah Menangis Gembira>,positif
Seketika saya ingin jadi ayahnya😂,Seketika saya ingin jadi ayahnya<Wajah Menangis Gembira>,netral
Setingan ny kurang bagus..masak org tak dikenal mencium ny di biarkn😅😅😅,Setingan ny kurang bagus..masak org tak dikenal mencium ny di biarkn<Wajah Tersenyum Mulut Terbuka Dan Keringat Dingin><Wajah Tersenyum Mulut Terbuka Dan Keringat Dingin><Wajah Tersenyum Mulut Terbuka Dan Keringat Dingin>,positif
"Liat vidio ini aku terharu,menangis sampai 1 Minggu 5 jam 😭😭😭😭","Liat vidio ini aku terharu,menangis sampai 1 Minggu 5 jam <Wajah Menangis Kencang><Wajah Menangis Kencang><Wajah Menangis Kencang><Wajah Menangis Kencang>",negatif
Rindu bapak yang sudah tenang diatas sana😢,Rindu bapak yang sudah tenang diatas sana<Wajah Menangis>,negatif
Kehangatan klrg emang bnr2 pnting❤,Kehangatan klrg emang bnr2 pnting<Hati Merah>,negatif
"Ayah memang pejuang dan pahlawanku..ayah stroke,,umi yg krja di luar negri...kita ank"" yg rawat ayah drmh. 2 thn di Brunei,,2 thn di KualaLumpur,,2 thn di Dublin,Irlandia. 22nya Pahlawan untukku❤","Ayah memang pejuang dan pahlawanku..ayah stroke,,umi yg krja di luar negri...kita ank"" yg rawat ayah drmh. 2 thn di Brunei,,2 thn di KualaLumpur,,2 thn di Dublin,Irlandia. 22nya Pahlawan untukku<Hati Merah>",negatif
Ayah adalah cinta pertama bagi anak perempuan nya. 🥰🥰😘,Ayah adalah cinta pertama bagi anak perempuan nya. 🥰🥰<Wajah Meniup Ciuman>,negatif
Sedangkan aku cinta keduanya😅,Sedangkan aku cinta keduanya<Wajah Tersenyum Mulut Terbuka Dan Keringat Dingin>,negatif
N​ @Albi-enzo235 😅😅😅😅😅😅😅,N​ @Albi-enzo235 <Wajah Tersenyum Mulut Terbuka Dan Keringat Dingin><Wajah Tersenyum Mulut Terbuka Dan Keringat Dingin><Wajah Tersenyum Mulut Terbuka Dan Keringat Dingin><Wajah Tersenyum Mulut Terbuka Dan Keringat Dingin><Wajah Tersenyum Mulut Terbuka Dan Keringat Dingin><Wajah Tersenyum Mulut Terbuka Dan Keringat Dingin><Wajah Tersenyum Mulut Terbuka Dan Keringat Dingin>,netral
"​ @basir_009 sekedar berbagi cerita aja, waktu itu malem"" abis magrib, kita ber4 blm ada yg mkn, ada nasi cmn seporsi, ibu sy, saya, dan adek sya 2, kami blm mkn, meski ada nasi tapi kita gda yg berani makan, dtg lah ayahku yg ntah dr mana, dia pulang"" lalar katanya, trs d makan lah sma dia, trs wktu kemudian hari, sya sma adek saya lagi main bersama, dlu kita sewa becak kecil buat keliling desa, d situ hari udh sore, ayah sya nyari kami ber3 bawa kayu, dan apa yg dia blng ke kita sungguh sangat sakit bagiku, dia marah ke kita karna ayam dia dr siang blm d kasih makan, trs udh sore kita asik main bknnya masukin ayam ke kandang, dr situ aku paham, dia lebih sayang peliharaan ketimbang keluarga sendiri 🙂 yang udah terlanjur membaca maaf, saya cmn pngen sekedar cerita, mngkin dr dlu sya pendam krna saya malu mau cerita ke orang","​ @basir_009 sekedar berbagi cerita aja, waktu itu malem"" abis magrib, kita ber4 blm ada yg mkn, ada nasi cmn seporsi, ibu sy, saya, dan adek sya 2, kami blm mkn, meski ada nasi tapi kita gda yg berani makan, dtg lah ayahku yg ntah dr mana, dia pulang"" lalar katanya, trs d makan lah sma dia, trs wktu kemudian hari, sya sma adek saya lagi main bersama, dlu kita sewa becak kecil buat keliling desa, d situ hari udh sore, ayah sya nyari kami ber3 bawa kayu, dan apa yg dia blng ke kita sungguh sangat sakit bagiku, dia marah ke kita karna ayam dia dr siang blm d kasih makan, trs udh sore kita asik main bknnya masukin ayam ke kandang, dr situ aku paham, dia lebih sayang peliharaan ketimbang keluarga sendiri <Wajah Agak Tersenyum> yang udah terlanjur membaca maaf, saya cmn pngen sekedar cerita, mngkin dr dlu sya pendam krna saya malu mau cerita ke orang",netral
"​ @dilla_78 maaf kak nanya, ayam nya itu ayam biasa, apa ayam aduan kak?
Kalau ayam aduan saya paham, karena almarhum ayah saya juga ada di dunia seperti itu😢 dulu","​ @dilla_78 maaf kak nanya, ayam nya itu ayam biasa, apa ayam aduan kak?
Kalau ayam aduan saya paham, karena almarhum ayah saya juga ada di dunia seperti itu<Wajah Menangis> dulu",netral
Anak nya seneng ayah kembali....lah ibu nya kadang2 aduh 😅 ....istri nya sebelah mana woi,Anak nya seneng ayah kembali....lah ibu nya kadang2 aduh <Wajah Tersenyum Mulut Terbuka Dan Keringat Dingin> ....istri nya sebelah mana woi,positif
"Asli aku Teharu😢😢😢😢bget,,karna perjuangan sang ayah","Asli aku Teharu<Wajah Menangis><Wajah Menangis><Wajah Menangis><Wajah Menangis>bget,,karna perjuangan sang ayah",negatif
Aku  udah  gk  bosan  semenjak  mengenal ✌𝓷𝓮𝓷𝓰4𝓭✌,Aku  udah  gk  bosan  semenjak  mengenal <Tangan Tanda Damai Berjaya>𝓷𝓮𝓷𝓰4𝓭<Tangan Tanda Damai Berjaya>,negatif
❤❤sungguh indah,<Hati Merah><Hati Merah>sungguh indah,negatif
Terhura woy 😢,Terhura woy <Wajah Menangis>,positif
Biar gak pakai masker juga GPP dia juga orang tua nya😂 kasih sayang Sorang Ayah ke anak walau itu cwe atau cowok beda tidak sama hal nya mencium orang lain yg bukan anak kandung sendiri😊,Biar gak pakai masker juga GPP dia juga orang tua nya<Wajah Menangis Gembira> kasih sayang Sorang Ayah ke anak walau itu cwe atau cowok beda tidak sama hal nya mencium orang lain yg bukan anak kandung sendiri<Wajah Tersenyum Dengan Mata Tersenyum>,netral
My Daughter ❤,My Daughter <Hati Merah>,netral
@LorongLensa  thankyou kak👍👍,@LorongLensa  thankyou kak<Jempol Ke Atas><Jempol Ke Atas>,netral
Jangan ditiru bagi yang belum nikah 😂,Jangan ditiru bagi yang belum nikah <Wajah Menangis Gembira>,positif
"Sama anaknya seperti itu,apalagi ntr  malam sama istrinya 😀😀😀","Sama anaknya seperti itu,apalagi ntr  malam sama istrinya <Wajah Menyeringai><Wajah Menyeringai><Wajah Menyeringai>",positif
Hama komen 😂,Hama komen <Wajah Menangis Gembira>,positif
Admin nya terharu anjir 😂,Admin nya terharu anjir <Wajah Menangis Gembira>,negatif
​ @LorongLensa siap min 🙇‍♂️😆,​ @LorongLensa siap min <Orang Membungkuk>‍♂️<Wajah Tersenyum Mulut Terbuka Dan Mata Tertutup>,netral
😂😂😂nenekx lucu sntai aja,<Wajah Menangis Gembira><Wajah Menangis Gembira><Wajah Menangis Gembira>nenekx lucu sntai aja,negatif
"Santai selama anak sudah digantikan cucu ,cucu nomer 1 anak biasa aja 😂","Santai selama anak sudah digantikan cucu ,cucu nomer 1 anak biasa aja <Wajah Menangis Gembira>",positif
Loh2 video aslinya bukan 8 tahun loh😂😂😂bang2,Loh2 video aslinya bukan 8 tahun loh<Wajah Menangis Gembira><Wajah Menangis Gembira><Wajah Menangis Gembira>bang2,positif
"Bapak gw 15thn ga pulang pulang, 
Apakah mungkun gw akan di prank begini juga ya😂😂","Bapak gw 15thn ga pulang pulang, 
Apakah mungkun gw akan di prank begini juga ya<Wajah Menangis Gembira><Wajah Menangis Gembira>",netral
kok aku nangis😢,kok aku nangis<Wajah Menangis>,positif
Di bekasi keluarga pak LAGIMAN DAN KELUARGA HARTONO BEKASI😂😂😂😂,Di bekasi keluarga pak LAGIMAN DAN KELUARGA HARTONO BEKASI<Wajah Menangis Gembira><Wajah Menangis Gembira><Wajah Menangis Gembira><Wajah Menangis Gembira>,netral
Serius itu Bukan Akku 😂😅😂😂😂😂,Serius itu Bukan Akku <Wajah Menangis Gembira><Wajah Tersenyum Mulut Terbuka Dan Keringat Dingin><Wajah Menangis Gembira><Wajah Menangis Gembira><Wajah Menangis Gembira><Wajah Menangis Gembira>,positif
😂😂si yanti orang bekasi juga kayak nya,<Wajah Menangis Gembira><Wajah Menangis Gembira>si yanti orang bekasi juga kayak nya,netral
Kok logatnya berasa kayak nonton sopo jarwo😊,Kok logatnya berasa kayak nonton sopo jarwo<Wajah Tersenyum Dengan Mata Tersenyum>,positif
Dubbingnya kedengaran aneh 😂😂😂,Dubbingnya kedengaran aneh <Wajah Menangis Gembira><Wajah Menangis Gembira><Wajah Menangis Gembira>,positif
Drama yg tidak jelas 😂😂😂,Drama yg tidak jelas <Wajah Menangis Gembira><Wajah Menangis Gembira><Wajah Menangis Gembira>,positif
"😂😂😂di Korea ada kampung bekasi,, 😂😂","<Wajah Menangis Gembira><Wajah Menangis Gembira><Wajah Menangis Gembira>di Korea ada kampung bekasi,, <Wajah Menangis Gembira><Wajah Menangis Gembira>",netral
Pak lagiman kyak nya orang  jawa timur pindah ke bekasi..😅😅mas joko tak uk...uukk..uuukkk..😅,Pak lagiman kyak nya orang  jawa timur pindah ke bekasi..<Wajah Tersenyum Mulut Terbuka Dan Keringat Dingin><Wajah Tersenyum Mulut Terbuka Dan Keringat Dingin>mas joko tak uk...uukk..uuukkk..<Wajah Tersenyum Mulut Terbuka Dan Keringat Dingin>,positif
"ha? Bekasi? 🤔 okelah kalau begitu
daripada nonton berita drama politik Konoha, mending nonton dracin yang lebih dramatis 😊","ha? Bekasi? <Wajah Berpikir> okelah kalau begitu
daripada nonton berita drama politik Konoha, mending nonton dracin yang lebih dramatis <Wajah Tersenyum Dengan Mata Tersenyum>",positif
Keluarga terpandang di BEKASI😂😂😂😂😂koplak,Keluarga terpandang di BEKASI<Wajah Menangis Gembira><Wajah Menangis Gembira><Wajah Menangis Gembira><Wajah Menangis Gembira><Wajah Menangis Gembira>koplak,negatif
ceraikan saja si yanti itu😂😂😂,ceraikan saja si yanti itu<Wajah Menangis Gembira><Wajah Menangis Gembira><Wajah Menangis Gembira>,positif
Dialeknya cindo suraboyo nih...😅😂,Dialeknya cindo suraboyo nih...<Wajah Tersenyum Mulut Terbuka Dan Keringat Dingin><Wajah Menangis Gembira>,netral
Mungkin salah .600 jdi300.salah tehknik kali ha haa.itu jg bagus kota Bekasi menyala harum🎉❤,Mungkin salah .600 jdi300.salah tehknik kali ha haa.itu jg bagus kota Bekasi menyala harum🎉<Hati Merah>,positif
Keren yaa...kelakuanorang terkaya sebekasi 🎉😢🎉🎉teny,Keren yaa...kelakuanorang terkaya sebekasi 🎉<Wajah Menangis>🎉🎉teny,negatif
Memang patut di buli hero mcmtu…😅,Memang patut di buli hero mcmtu…<Wajah Tersenyum Mulut Terbuka Dan Keringat Dingin>,negatif
Dublingny ga rapi😅,Dublingny ga rapi<Wajah Tersenyum Mulut Terbuka Dan Keringat Dingin>,netral
Kenapa BPK damin sada dr gabus Bekasi ga d sebut ya....😅😅😅,Kenapa BPK damin sada dr gabus Bekasi ga d sebut ya....<Wajah Tersenyum Mulut Terbuka Dan Keringat Dingin><Wajah Tersenyum Mulut Terbuka Dan Keringat Dingin><Wajah Tersenyum Mulut Terbuka Dan Keringat Dingin>,netral
Lawak2...😂😂😂,Lawak2...<Wajah Menangis Gembira><Wajah Menangis Gembira><Wajah Menangis Gembira>,positif
Jangan melihat buku dari sampulnya bto 😢,Jangan melihat buku dari sampulnya bto <Wajah Menangis>,positif
Wanita cantik yang paling penting hatinya baik akan lebih cantik 😢,Wanita cantik yang paling penting hatinya baik akan lebih cantik <Wajah Menangis>,negatif
Dubbingnya ok enak ditonton bro 😢,Dubbingnya ok enak ditonton bro <Wajah Menangis>,negatif
Sulih suaranya ... 😂😂,Sulih suaranya ... <Wajah Menangis Gembira><Wajah Menangis Gembira>,negatif
"3mnt pertama nama istri fajar si yanti, 3mnt kemudian kok bisa ganti jd sisca😂😂","3mnt pertama nama istri fajar si yanti, 3mnt kemudian kok bisa ganti jd sisca<Wajah Menangis Gembira><Wajah Menangis Gembira>",netral
Drama tertolol😅😅😅😅,Drama tertolol<Wajah Tersenyum Mulut Terbuka Dan Keringat Dingin><Wajah Tersenyum Mulut Terbuka Dan Keringat Dingin><Wajah Tersenyum Mulut Terbuka Dan Keringat Dingin><Wajah Tersenyum Mulut Terbuka Dan Keringat Dingin>,negatif
"Ekting Berjam jam cuman dlm satu ruangan, buang wktu tdk logika😅😅","Ekting Berjam jam cuman dlm satu ruangan, buang wktu tdk logika<Wajah Tersenyum Mulut Terbuka Dan Keringat Dingin><Wajah Tersenyum Mulut Terbuka Dan Keringat Dingin>",netral
SMAN 1 kota Bekasi 😅,SMAN 1 kota Bekasi <Wajah Tersenyum Mulut Terbuka Dan Keringat Dingin>,netral
Dri bekasi Muter muter ceritanya' ujung2nya ketemu di bekasi jg...film preeeeeettt😅,Dri bekasi Muter muter ceritanya' ujung2nya ketemu di bekasi jg...film preeeeeettt<Wajah Tersenyum Mulut Terbuka Dan Keringat Dingin>,negatif
Ouwoouw Bekasi😅😅,Ouwoouw Bekasi<Wajah Tersenyum Mulut Terbuka Dan Keringat Dingin><Wajah Tersenyum Mulut Terbuka Dan Keringat Dingin>,negatif
Gaya bicara indo nya 😂😂 kaya pilem hntu,Gaya bicara indo nya <Wajah Menangis Gembira><Wajah Menangis Gembira> kaya pilem hntu,positif
Yang dubbing orang bekasi...😂😂😂,Yang dubbing orang bekasi...<Wajah Menangis Gembira><Wajah Menangis Gembira><Wajah Menangis Gembira>,positif
Wkwkkkkk😂😂😂😂,Wkwkkkkk<Wajah Menangis Gembira><Wajah Menangis Gembira><Wajah Menangis Gembira><Wajah Menangis Gembira>,negatif
"Ohh Yanti, Pingin kruwes Jadi ya, semua  Nya d kasih keluarga, hadeehh😂😂","Ohh Yanti, Pingin kruwes Jadi ya, semua  Nya d kasih keluarga, hadeehh<Wajah Menangis Gembira><Wajah Menangis Gembira>",negatif
keluarga hartono dibekasi 😂😂😂😂😂,keluarga hartono dibekasi <Wajah Menangis Gembira><Wajah Menangis Gembira><Wajah Menangis Gembira><Wajah Menangis Gembira><Wajah Menangis Gembira>,netral
Sebelum di bekasi pernah ngontrak di Tangerang😂😂,Sebelum di bekasi pernah ngontrak di Tangerang<Wajah Menangis Gembira><Wajah Menangis Gembira>,netral
Hahahah Bekasi rawa kalong😂,Hahahah Bekasi rawa kalong<Wajah Menangis Gembira>,netral
bekasi 😂 dan wanita suara pria 😂😂 de real drama dalam drama,bekasi <Wajah Menangis Gembira> dan wanita suara pria <Wajah Menangis Gembira><Wajah Menangis Gembira> de real drama dalam drama,netral
Penyuluh suaranya Mlh JD lucu..JD TDK.menarik😂😂😂😂 mlh JD geli,Penyuluh suaranya Mlh JD lucu..JD TDK.menarik<Wajah Menangis Gembira><Wajah Menangis Gembira><Wajah Menangis Gembira><Wajah Menangis Gembira> mlh JD geli,negatif
"Kacau 😂😂😂
Pengisi suaranya 😅😅","Kacau <Wajah Menangis Gembira><Wajah Menangis Gembira><Wajah Menangis Gembira>
Pengisi suaranya <Wajah Tersenyum Mulut Terbuka Dan Keringat Dingin><Wajah Tersenyum Mulut Terbuka Dan Keringat Dingin>",positif
Dubingnya asli jelekk😂😂,Dubingnya asli jelekk<Wajah Menangis Gembira><Wajah Menangis Gembira>,netral
Anjayyy😂😂😂 bekasi,Anjayyy<Wajah Menangis Gembira><Wajah Menangis Gembira><Wajah Menangis Gembira> bekasi,netral
Bang hartono orang bekasi😂😂,Bang hartono orang bekasi<Wajah Menangis Gembira><Wajah Menangis Gembira>,netral
Mantap❤❤❤❤❤,Mantap<Hati Merah><Hati Merah><Hati Merah><Hati Merah><Hati Merah>,negatif
"Cerita nya GK sampai habis,harusnya Yanti tau siapa sebenarnya fajar,👎","Cerita nya GK sampai habis,harusnya Yanti tau siapa sebenarnya fajar,<Jempol Ke Bawah>",positif
Hartono siapa weeeee😮,Hartono siapa weeeee<Wajah Terperangah Terbuka>,positif
Ngaco ni sub indonya😂 w org Bekasi baru tau ternyata di Bekasi ada sultan juga😂 w kira cuma w doang...wkwkwk,Ngaco ni sub indonya<Wajah Menangis Gembira> w org Bekasi baru tau ternyata di Bekasi ada sultan juga<Wajah Menangis Gembira> w kira cuma w doang...wkwkwk,positif
apa di china  org miskin wajib di hina? smua film cina 90% berisi hinaan durasinya 😂😂😂 gak usah di jawab.krna ini hanya film 😂😂,apa di china  org miskin wajib di hina? smua film cina 90% berisi hinaan durasinya <Wajah Menangis Gembira><Wajah Menangis Gembira><Wajah Menangis Gembira> gak usah di jawab.krna ini hanya film <Wajah Menangis Gembira><Wajah Menangis Gembira>,positif
Hadirr bossque😅😮😅😮,Hadirr bossque<Wajah Tersenyum Mulut Terbuka Dan Keringat Dingin><Wajah Terperangah Terbuka><Wajah Tersenyum Mulut Terbuka Dan Keringat Dingin><Wajah Terperangah Terbuka>,negatif
Pak lagiman 😂😂😂,Pak lagiman <Wajah Menangis Gembira><Wajah Menangis Gembira><Wajah Menangis Gembira>,netral
Drama ini kok jelek ya😊,Drama ini kok jelek ya<Wajah Tersenyum Dengan Mata Tersenyum>,positif
Hebat..😊😊 aamiin.😊,Hebat..<Wajah Tersenyum Dengan Mata Tersenyum><Wajah Tersenyum Dengan Mata Tersenyum> aamiin.<Wajah Tersenyum Dengan Mata Tersenyum>,negatif
Anjirrrr bekasi🤣🤣🤣,Anjirrrr bekasi<Tertawa Terpingkal-Pingkal><Tertawa Terpingkal-Pingkal><Tertawa Terpingkal-Pingkal>,positif
Apa Kabar Bekasi ? 😂😂😂,Apa Kabar Bekasi ? <Wajah Menangis Gembira><Wajah Menangis Gembira><Wajah Menangis Gembira>,netral
Mas joko.. mas joko... ķapan kita mancìng bareng😂🎉,Mas joko.. mas joko... ķapan kita mancìng bareng<Wajah Menangis Gembira>🎉,netral
Mas Joko kendil and Joko Tingkir 😮,Mas Joko kendil and Joko Tingkir <Wajah Terperangah Terbuka>,netral
Ternyata menghayal itu enak 🤣,Ternyata menghayal itu enak <Tertawa Terpingkal-Pingkal>,negatif
kok ada suaranya pak eric tohir 😀,kok ada suaranya pak eric tohir <Wajah Menyeringai>,netral
Yanti deneke dadi sisca😂,Yanti deneke dadi sisca<Wajah Menangis Gembira>,netral
What's?? Aku lagi di Bekasi jadi terkekeh-kekeh.. 😂😂,What's?? Aku lagi di Bekasi jadi terkekeh-kekeh.. <Wajah Menangis Gembira><Wajah Menangis Gembira>,positif
Masa cewe suaranya cowo aduhhh brantakan 😂,Masa cewe suaranya cowo aduhhh brantakan <Wajah Menangis Gembira>,positif
Si fajar suara nya kayak SAPO JARWO😅,Si fajar suara nya kayak SAPO JARWO<Wajah Tersenyum Mulut Terbuka Dan Keringat Dingin>,positif
anjay BEKASI 🤣🤣,anjay BEKASI <Tertawa Terpingkal-Pingkal><Tertawa Terpingkal-Pingkal>,negatif
"1:13, joko segera di asingkan ke kutub utara 😅","1:13, joko segera di asingkan ke kutub utara <Wajah Tersenyum Mulut Terbuka Dan Keringat Dingin>",netral
Nama Cweknya Beda Beda Mulu sisca Yanti dan maaih ada lagi 😂😂😂,Nama Cweknya Beda Beda Mulu sisca Yanti dan maaih ada lagi <Wajah Menangis Gembira><Wajah Menangis Gembira><Wajah Menangis Gembira>,netral
Kalo Di indo ceritanya asli keknya auto di gruduk para Ojol mah bahkan hotelnya pun nga selamat 😂😂😂,Kalo Di indo ceritanya asli keknya auto di gruduk para Ojol mah bahkan hotelnya pun nga selamat <Wajah Menangis Gembira><Wajah Menangis Gembira><Wajah Menangis Gembira>,positif
orang bekasi mantap 😁,orang bekasi mantap <Wajah Menyeringai Dengan Mata Tersenyum>,negatif
"Terimakasih , saya sudah di buat kan film😅","Terimakasih , saya sudah di buat kan film<Wajah Tersenyum Mulut Terbuka Dan Keringat Dingin>",netral
Tuan mudanya BEKASI MANA MIN😂😂😂😂,Tuan mudanya BEKASI MANA MIN<Wajah Menangis Gembira><Wajah Menangis Gembira><Wajah Menangis Gembira><Wajah Menangis Gembira>,netral
Cina medok😂😂,Cina medok<Wajah Menangis Gembira><Wajah Menangis Gembira>,netral
Hartono 🥴😌,Hartono 🥴<Wajah Lega>,negatif
"Bekasi , Pasar Proyek , Hadirrr 😂❤️❤️👍","Bekasi , Pasar Proyek , Hadirrr <Wajah Menangis Gembira><Hati Merah>️<Hati Merah>️<Jempol Ke Atas>",netral
Pengisi suaranya kurang gizi semuahhh😅,Pengisi suaranya kurang gizi semuahhh<Wajah Tersenyum Mulut Terbuka Dan Keringat Dingin>,positif
"Cina buat film walaupun cuma film gak jelas, tapi niat banget termasuk mobilnya😂","Cina buat film walaupun cuma film gak jelas, tapi niat banget termasuk mobilnya<Wajah Menangis Gembira>",netral
Anjjirrrr alih suara jadi bloong ceritanya...jadi cacat ceritanya dehhh😂😂😂😂,Anjjirrrr alih suara jadi bloong ceritanya...jadi cacat ceritanya dehhh<Wajah Menangis Gembira><Wajah Menangis Gembira><Wajah Menangis Gembira><Wajah Menangis Gembira>,positif
Lucu banget pas menit 8an cewek nya suara nya malah jadi cowok😂😂😂😂😂,Lucu banget pas menit 8an cewek nya suara nya malah jadi cowok<Wajah Menangis Gembira><Wajah Menangis Gembira><Wajah Menangis Gembira><Wajah Menangis Gembira><Wajah Menangis Gembira>,negatif
kok.narasinya gak konsisten apa.tidak ada skenario sceipt nya to ? berubah rubah dari rumah 6 T jadi 300M piye suttadaranya nib 😂,kok.narasinya gak konsisten apa.tidak ada skenario sceipt nya to ? berubah rubah dari rumah 6 T jadi 300M piye suttadaranya nib <Wajah Menangis Gembira>,positif
Dasar drama.. Udah tau mau jalan malah ga ganti baju.. W kismin tapi kalo mau jalan minimal ganti baju yg rapih..😂,Dasar drama.. Udah tau mau jalan malah ga ganti baju.. W kismin tapi kalo mau jalan minimal ganti baju yg rapih..<Wajah Menangis Gembira>,positif
"Adoii,pecah perut gelak sorang² dalam bilik 😂😅","Adoii,pecah perut gelak sorang² dalam bilik <Wajah Menangis Gembira><Wajah Tersenyum Mulut Terbuka Dan Keringat Dingin>",positif
Fajar Sadboy😂,Fajar Sadboy<Wajah Menangis Gembira>,netral
😂😂😂😂😂😂😂😂😂😂😂😂😂 Penonton Indonesia ditipu sama film2 dari negeri yang dicap negatif soal keyakinan,<Wajah Menangis Gembira><Wajah Menangis Gembira><Wajah Menangis Gembira><Wajah Menangis Gembira><Wajah Menangis Gembira><Wajah Menangis Gembira><Wajah Menangis Gembira><Wajah Menangis Gembira><Wajah Menangis Gembira><Wajah Menangis Gembira><Wajah Menangis Gembira><Wajah Menangis Gembira><Wajah Menangis Gembira> Penonton Indonesia ditipu sama film2 dari negeri yang dicap negatif soal keyakinan,positif
Hahaha bekasi😅😅😅😅,Hahaha bekasi<Wajah Tersenyum Mulut Terbuka Dan Keringat Dingin><Wajah Tersenyum Mulut Terbuka Dan Keringat Dingin><Wajah Tersenyum Mulut Terbuka Dan Keringat Dingin><Wajah Tersenyum Mulut Terbuka Dan Keringat Dingin>,negatif
Haha bener juga tadinya serius pas denger bekadi jadi lucu juga haha😂😂😂,Haha bener juga tadinya serius pas denger bekadi jadi lucu juga haha<Wajah Menangis Gembira><Wajah Menangis Gembira><Wajah Menangis Gembira>,negatif
"Masak orang dri Bekasi😂😂😂, suara.nya msih Norak","Masak orang dri Bekasi<Wajah Menangis Gembira><Wajah Menangis Gembira><Wajah Menangis Gembira>, suara.nya msih Norak",positif
"Yg agak keren dikit bisa ngga min namanya.,Marcell,Carlos,robert.gitu..jangan fajar / Budi.,kaya nama tetangga saya🤣🤣","Yg agak keren dikit bisa ngga min namanya.,Marcell,Carlos,robert.gitu..jangan fajar / Budi.,kaya nama tetangga saya<Tertawa Terpingkal-Pingkal><Tertawa Terpingkal-Pingkal>",netral
Pak lagiman ini wajahnya sama kayak kang Mus preman pensiun.. Dan peran di film juga sama 😂,Pak lagiman ini wajahnya sama kayak kang Mus preman pensiun.. Dan peran di film juga sama <Wajah Menangis Gembira>,netral
Dubbernya ? 🤣,Dubbernya ? <Tertawa Terpingkal-Pingkal>,netral
Orang terkaya di bekasi ternyatah mudah ditindas dan dihina😂😂😂😂😂😂😂,Orang terkaya di bekasi ternyatah mudah ditindas dan dihina<Wajah Menangis Gembira><Wajah Menangis Gembira><Wajah Menangis Gembira><Wajah Menangis Gembira><Wajah Menangis Gembira><Wajah Menangis Gembira><Wajah Menangis Gembira>,netral
😊🎉Aku Seneng Liatnya 😊,<Wajah Tersenyum Dengan Mata Tersenyum>🎉Aku Seneng Liatnya <Wajah Tersenyum Dengan Mata Tersenyum>,negatif
oh orang bekasi aktor nya hebat😂😂😂,oh orang bekasi aktor nya hebat<Wajah Menangis Gembira><Wajah Menangis Gembira><Wajah Menangis Gembira>,positif
